from	to	source	database
Insl3	Vipr1	ppi_lr	ppi_prediction
Adm2	Vipr1	ppi_lr	ppi_prediction
Rln3	Vipr1	ppi_lr	ppi_prediction
Pth2	Vipr1	ppi_lr	ppi_prediction
Adm	Mc4r	ppi_lr	ppi_prediction
Insl3	Mc4r	ppi_lr	ppi_prediction
Adm2	Mc4r	ppi_lr	ppi_prediction
Rln3	Mc4r	ppi_lr	ppi_prediction
Pth2	Mc4r	ppi_lr	ppi_prediction
Cxcl5	Ccr1	ppi_lr	ppi_prediction
Cxcl12	Ccr1	ppi_lr	ppi_prediction
Nmu	Ccr1	ppi_lr	ppi_prediction
Sst	Ccr1	ppi_lr	ppi_prediction
Ccl20	Ccr1	ppi_lr	ppi_prediction
Cxcl9	Ccr1	ppi_lr	ppi_prediction
Pnoc	Ccr1	ppi_lr	ppi_prediction
Nms	Ccr1	ppi_lr	ppi_prediction
Npw	Ccr1	ppi_lr	ppi_prediction
Npb	Ccr1	ppi_lr	ppi_prediction
Rln3	Ccr1	ppi_lr	ppi_prediction
Ccl19	Ccr1	ppi_lr	ppi_prediction
Cxcl16	Ccr1	ppi_lr	ppi_prediction
Ccl28	Ccr1	ppi_lr	ppi_prediction
Hebp1	Ccr1	ppi_lr	ppi_prediction
Apln	Ccr1	ppi_lr	ppi_prediction
Gm13306	Ccr1	ppi_lr	ppi_prediction
Insl5	Ccr1	ppi_lr	ppi_prediction
Cxcl5	Ccr7	ppi_lr	ppi_prediction
Cxcl12	Ccr7	ppi_lr	ppi_prediction
Nmu	Ccr7	ppi_lr	ppi_prediction
Sst	Ccr7	ppi_lr	ppi_prediction
Ccl20	Ccr7	ppi_lr	ppi_prediction
Cxcl9	Ccr7	ppi_lr	ppi_prediction
Pnoc	Ccr7	ppi_lr	ppi_prediction
Nms	Ccr7	ppi_lr	ppi_prediction
Npw	Ccr7	ppi_lr	ppi_prediction
Npb	Ccr7	ppi_lr	ppi_prediction
Rln3	Ccr7	ppi_lr	ppi_prediction
Cxcl16	Ccr7	ppi_lr	ppi_prediction
Ccl28	Ccr7	ppi_lr	ppi_prediction
Hebp1	Ccr7	ppi_lr	ppi_prediction
Apln	Ccr7	ppi_lr	ppi_prediction
Gm13306	Ccr7	ppi_lr	ppi_prediction
Insl5	Ccr7	ppi_lr	ppi_prediction
Cxcl5	Cxcr5	ppi_lr	ppi_prediction
Cxcl12	Cxcr5	ppi_lr	ppi_prediction
Nmu	Cxcr5	ppi_lr	ppi_prediction
Sst	Cxcr5	ppi_lr	ppi_prediction
Ccl20	Cxcr5	ppi_lr	ppi_prediction
Cxcl9	Cxcr5	ppi_lr	ppi_prediction
Pnoc	Cxcr5	ppi_lr	ppi_prediction
Nms	Cxcr5	ppi_lr	ppi_prediction
Npw	Cxcr5	ppi_lr	ppi_prediction
Npb	Cxcr5	ppi_lr	ppi_prediction
Rln3	Cxcr5	ppi_lr	ppi_prediction
Ccl19	Cxcr5	ppi_lr	ppi_prediction
Cxcl16	Cxcr5	ppi_lr	ppi_prediction
Ccl28	Cxcr5	ppi_lr	ppi_prediction
Hebp1	Cxcr5	ppi_lr	ppi_prediction
Apln	Cxcr5	ppi_lr	ppi_prediction
Gm13306	Cxcr5	ppi_lr	ppi_prediction
Insl5	Cxcr5	ppi_lr	ppi_prediction
Cxcl5	Sstr3	ppi_lr	ppi_prediction
Cxcl12	Sstr3	ppi_lr	ppi_prediction
Nmu	Sstr3	ppi_lr	ppi_prediction
Ccl20	Sstr3	ppi_lr	ppi_prediction
Cxcl9	Sstr3	ppi_lr	ppi_prediction
Pnoc	Sstr3	ppi_lr	ppi_prediction
Nms	Sstr3	ppi_lr	ppi_prediction
Npw	Sstr3	ppi_lr	ppi_prediction
Npb	Sstr3	ppi_lr	ppi_prediction
Rln3	Sstr3	ppi_lr	ppi_prediction
Ccl19	Sstr3	ppi_lr	ppi_prediction
Cxcl16	Sstr3	ppi_lr	ppi_prediction
Ccl28	Sstr3	ppi_lr	ppi_prediction
Hebp1	Sstr3	ppi_lr	ppi_prediction
Apln	Sstr3	ppi_lr	ppi_prediction
Gm13306	Sstr3	ppi_lr	ppi_prediction
Insl5	Sstr3	ppi_lr	ppi_prediction
Adm	Mc5r	ppi_lr	ppi_prediction
Insl3	Mc5r	ppi_lr	ppi_prediction
Adm2	Mc5r	ppi_lr	ppi_prediction
Rln3	Mc5r	ppi_lr	ppi_prediction
Pth2	Mc5r	ppi_lr	ppi_prediction
Efnb1	Sdc2	ppi_lr	ppi_prediction
Efnb3	Sdc2	ppi_lr	ppi_prediction
Adm	Htr7	ppi_lr	ppi_prediction
Insl3	Htr7	ppi_lr	ppi_prediction
Adm2	Htr7	ppi_lr	ppi_prediction
Rln3	Htr7	ppi_lr	ppi_prediction
Pth2	Htr7	ppi_lr	ppi_prediction
Xcl1	Trhr	ppi_lr	ppi_prediction
Nmu	Trhr	ppi_lr	ppi_prediction
Prok1	Trhr	ppi_lr	ppi_prediction
Qrfp	Trhr	ppi_lr	ppi_prediction
Kiss1	Trhr	ppi_lr	ppi_prediction
Nms	Trhr	ppi_lr	ppi_prediction
Uts2b	Trhr	ppi_lr	ppi_prediction
Prok2	Trhr	ppi_lr	ppi_prediction
Ghrl	Trhr	ppi_lr	ppi_prediction
Tac2	Trhr	ppi_lr	ppi_prediction
Adm	Crhr1	ppi_lr	ppi_prediction
Insl3	Crhr1	ppi_lr	ppi_prediction
Adm2	Crhr1	ppi_lr	ppi_prediction
Rln3	Crhr1	ppi_lr	ppi_prediction
Pth2	Crhr1	ppi_lr	ppi_prediction
Cxcl5	Sstr5	ppi_lr	ppi_prediction
Cxcl12	Sstr5	ppi_lr	ppi_prediction
Nmu	Sstr5	ppi_lr	ppi_prediction
Ccl20	Sstr5	ppi_lr	ppi_prediction
Cxcl9	Sstr5	ppi_lr	ppi_prediction
Pnoc	Sstr5	ppi_lr	ppi_prediction
Nms	Sstr5	ppi_lr	ppi_prediction
Npw	Sstr5	ppi_lr	ppi_prediction
Npb	Sstr5	ppi_lr	ppi_prediction
Rln3	Sstr5	ppi_lr	ppi_prediction
Ccl19	Sstr5	ppi_lr	ppi_prediction
Cxcl16	Sstr5	ppi_lr	ppi_prediction
Ccl28	Sstr5	ppi_lr	ppi_prediction
Hebp1	Sstr5	ppi_lr	ppi_prediction
Apln	Sstr5	ppi_lr	ppi_prediction
Gm13306	Sstr5	ppi_lr	ppi_prediction
Insl5	Sstr5	ppi_lr	ppi_prediction
Xcl1	Hrh1	ppi_lr	ppi_prediction
Nmu	Hrh1	ppi_lr	ppi_prediction
Prok1	Hrh1	ppi_lr	ppi_prediction
Qrfp	Hrh1	ppi_lr	ppi_prediction
Kiss1	Hrh1	ppi_lr	ppi_prediction
Nms	Hrh1	ppi_lr	ppi_prediction
Uts2b	Hrh1	ppi_lr	ppi_prediction
Prok2	Hrh1	ppi_lr	ppi_prediction
Ghrl	Hrh1	ppi_lr	ppi_prediction
Tac2	Hrh1	ppi_lr	ppi_prediction
Cxcl5	Oprm1	ppi_lr	ppi_prediction
Cxcl12	Oprm1	ppi_lr	ppi_prediction
Nmu	Oprm1	ppi_lr	ppi_prediction
Sst	Oprm1	ppi_lr	ppi_prediction
Ccl20	Oprm1	ppi_lr	ppi_prediction
Arf1	Oprm1	ppi_lr	ppi_prediction
Cxcl9	Oprm1	ppi_lr	ppi_prediction
Pnoc	Oprm1	ppi_lr	ppi_prediction
Nms	Oprm1	ppi_lr	ppi_prediction
Npw	Oprm1	ppi_lr	ppi_prediction
Npb	Oprm1	ppi_lr	ppi_prediction
Rln3	Oprm1	ppi_lr	ppi_prediction
Ccl19	Oprm1	ppi_lr	ppi_prediction
Cxcl16	Oprm1	ppi_lr	ppi_prediction
Ccl28	Oprm1	ppi_lr	ppi_prediction
Hebp1	Oprm1	ppi_lr	ppi_prediction
Apln	Oprm1	ppi_lr	ppi_prediction
Gm13306	Oprm1	ppi_lr	ppi_prediction
Insl5	Oprm1	ppi_lr	ppi_prediction
Cxcl5	Aplnr	ppi_lr	ppi_prediction
Cxcl12	Aplnr	ppi_lr	ppi_prediction
Nmu	Aplnr	ppi_lr	ppi_prediction
Sst	Aplnr	ppi_lr	ppi_prediction
Ccl20	Aplnr	ppi_lr	ppi_prediction
Cxcl9	Aplnr	ppi_lr	ppi_prediction
Pnoc	Aplnr	ppi_lr	ppi_prediction
Nms	Aplnr	ppi_lr	ppi_prediction
Npw	Aplnr	ppi_lr	ppi_prediction
Npb	Aplnr	ppi_lr	ppi_prediction
Rln3	Aplnr	ppi_lr	ppi_prediction
Ccl19	Aplnr	ppi_lr	ppi_prediction
Cxcl16	Aplnr	ppi_lr	ppi_prediction
Ccl28	Aplnr	ppi_lr	ppi_prediction
Hebp1	Aplnr	ppi_lr	ppi_prediction
Gm13306	Aplnr	ppi_lr	ppi_prediction
Insl5	Aplnr	ppi_lr	ppi_prediction
Angpt4	Tie1	ppi_lr	ppi_prediction
Efnb2	Flt4	ppi_lr	ppi_prediction
Efnb1	Flt4	ppi_lr	ppi_prediction
Efnb3	Flt4	ppi_lr	ppi_prediction
Liph	Flt4	ppi_lr	ppi_prediction
Pgf	Kdr	ppi_lr	ppi_prediction
Efna3	Tgfbr1	ppi_lr	ppi_prediction
Efna4	Tgfbr1	ppi_lr	ppi_prediction
Efna5	Tgfbr1	ppi_lr	ppi_prediction
Xcl1	Avpr1a	ppi_lr	ppi_prediction
Nmu	Avpr1a	ppi_lr	ppi_prediction
Prok1	Avpr1a	ppi_lr	ppi_prediction
Qrfp	Avpr1a	ppi_lr	ppi_prediction
Kiss1	Avpr1a	ppi_lr	ppi_prediction
Nms	Avpr1a	ppi_lr	ppi_prediction
Uts2b	Avpr1a	ppi_lr	ppi_prediction
Prok2	Avpr1a	ppi_lr	ppi_prediction
Ghrl	Avpr1a	ppi_lr	ppi_prediction
Tac2	Avpr1a	ppi_lr	ppi_prediction
Cxcl5	Oprd1	ppi_lr	ppi_prediction
Cxcl12	Oprd1	ppi_lr	ppi_prediction
Nmu	Oprd1	ppi_lr	ppi_prediction
Sst	Oprd1	ppi_lr	ppi_prediction
Ccl20	Oprd1	ppi_lr	ppi_prediction
Cxcl9	Oprd1	ppi_lr	ppi_prediction
Pnoc	Oprd1	ppi_lr	ppi_prediction
Nms	Oprd1	ppi_lr	ppi_prediction
Npw	Oprd1	ppi_lr	ppi_prediction
Npb	Oprd1	ppi_lr	ppi_prediction
Rln3	Oprd1	ppi_lr	ppi_prediction
Ccl19	Oprd1	ppi_lr	ppi_prediction
Cxcl16	Oprd1	ppi_lr	ppi_prediction
Ccl28	Oprd1	ppi_lr	ppi_prediction
Hebp1	Oprd1	ppi_lr	ppi_prediction
Apln	Oprd1	ppi_lr	ppi_prediction
Gm13306	Oprd1	ppi_lr	ppi_prediction
Insl5	Oprd1	ppi_lr	ppi_prediction
Cxcl5	Oprk1	ppi_lr	ppi_prediction
Cxcl12	Oprk1	ppi_lr	ppi_prediction
Nmu	Oprk1	ppi_lr	ppi_prediction
Sst	Oprk1	ppi_lr	ppi_prediction
Ccl20	Oprk1	ppi_lr	ppi_prediction
Cxcl9	Oprk1	ppi_lr	ppi_prediction
Pnoc	Oprk1	ppi_lr	ppi_prediction
Nms	Oprk1	ppi_lr	ppi_prediction
Npw	Oprk1	ppi_lr	ppi_prediction
Npb	Oprk1	ppi_lr	ppi_prediction
Rln3	Oprk1	ppi_lr	ppi_prediction
Ccl19	Oprk1	ppi_lr	ppi_prediction
Cxcl16	Oprk1	ppi_lr	ppi_prediction
Ccl28	Oprk1	ppi_lr	ppi_prediction
Hebp1	Oprk1	ppi_lr	ppi_prediction
Apln	Oprk1	ppi_lr	ppi_prediction
Gm13306	Oprk1	ppi_lr	ppi_prediction
Insl5	Oprk1	ppi_lr	ppi_prediction
Cxcl5	Oprl1	ppi_lr	ppi_prediction
Cxcl12	Oprl1	ppi_lr	ppi_prediction
Nmu	Oprl1	ppi_lr	ppi_prediction
Sst	Oprl1	ppi_lr	ppi_prediction
Ccl20	Oprl1	ppi_lr	ppi_prediction
Cxcl9	Oprl1	ppi_lr	ppi_prediction
Nms	Oprl1	ppi_lr	ppi_prediction
Npw	Oprl1	ppi_lr	ppi_prediction
Npb	Oprl1	ppi_lr	ppi_prediction
Rln3	Oprl1	ppi_lr	ppi_prediction
Ccl19	Oprl1	ppi_lr	ppi_prediction
Cxcl16	Oprl1	ppi_lr	ppi_prediction
Ccl28	Oprl1	ppi_lr	ppi_prediction
Hebp1	Oprl1	ppi_lr	ppi_prediction
Apln	Oprl1	ppi_lr	ppi_prediction
Gm13306	Oprl1	ppi_lr	ppi_prediction
Insl5	Oprl1	ppi_lr	ppi_prediction
Insl3	Adcyap1r1	ppi_lr	ppi_prediction
Adm2	Adcyap1r1	ppi_lr	ppi_prediction
Rln3	Adcyap1r1	ppi_lr	ppi_prediction
Pth2	Adcyap1r1	ppi_lr	ppi_prediction
Insl3	Vipr2	ppi_lr	ppi_prediction
Adm2	Vipr2	ppi_lr	ppi_prediction
Rln3	Vipr2	ppi_lr	ppi_prediction
Pth2	Vipr2	ppi_lr	ppi_prediction
Xcl1	Htr2b	ppi_lr	ppi_prediction
Nmu	Htr2b	ppi_lr	ppi_prediction
Prok1	Htr2b	ppi_lr	ppi_prediction
Qrfp	Htr2b	ppi_lr	ppi_prediction
Kiss1	Htr2b	ppi_lr	ppi_prediction
Nms	Htr2b	ppi_lr	ppi_prediction
Uts2b	Htr2b	ppi_lr	ppi_prediction
Prok2	Htr2b	ppi_lr	ppi_prediction
Ghrl	Htr2b	ppi_lr	ppi_prediction
Tac2	Htr2b	ppi_lr	ppi_prediction
Cxcl5	Ccr2	ppi_lr	ppi_prediction
Cxcl12	Ccr2	ppi_lr	ppi_prediction
Nmu	Ccr2	ppi_lr	ppi_prediction
Sst	Ccr2	ppi_lr	ppi_prediction
Ccl20	Ccr2	ppi_lr	ppi_prediction
Cxcl9	Ccr2	ppi_lr	ppi_prediction
Pnoc	Ccr2	ppi_lr	ppi_prediction
Nms	Ccr2	ppi_lr	ppi_prediction
Npw	Ccr2	ppi_lr	ppi_prediction
Npb	Ccr2	ppi_lr	ppi_prediction
Rln3	Ccr2	ppi_lr	ppi_prediction
Ccl19	Ccr2	ppi_lr	ppi_prediction
Cxcl16	Ccr2	ppi_lr	ppi_prediction
Ccl28	Ccr2	ppi_lr	ppi_prediction
Hebp1	Ccr2	ppi_lr	ppi_prediction
Apln	Ccr2	ppi_lr	ppi_prediction
Gm13306	Ccr2	ppi_lr	ppi_prediction
Insl5	Ccr2	ppi_lr	ppi_prediction
Insl3	Mc3r	ppi_lr	ppi_prediction
Adm2	Mc3r	ppi_lr	ppi_prediction
Rln3	Mc3r	ppi_lr	ppi_prediction
Pth2	Mc3r	ppi_lr	ppi_prediction
Insl3	Glp1r	ppi_lr	ppi_prediction
Adm2	Glp1r	ppi_lr	ppi_prediction
Rln3	Glp1r	ppi_lr	ppi_prediction
Pth2	Glp1r	ppi_lr	ppi_prediction
Cxcl12	Ccr10	ppi_lr	ppi_prediction
Nmu	Ccr10	ppi_lr	ppi_prediction
Sst	Ccr10	ppi_lr	ppi_prediction
Ccl20	Ccr10	ppi_lr	ppi_prediction
Cxcl9	Ccr10	ppi_lr	ppi_prediction
Pnoc	Ccr10	ppi_lr	ppi_prediction
Nms	Ccr10	ppi_lr	ppi_prediction
Npw	Ccr10	ppi_lr	ppi_prediction
Npb	Ccr10	ppi_lr	ppi_prediction
Rln3	Ccr10	ppi_lr	ppi_prediction
Cxcl16	Ccr10	ppi_lr	ppi_prediction
Hebp1	Ccr10	ppi_lr	ppi_prediction
Apln	Ccr10	ppi_lr	ppi_prediction
Insl5	Ccr10	ppi_lr	ppi_prediction
Nmu	Xcr1	ppi_lr	ppi_prediction
Prok1	Xcr1	ppi_lr	ppi_prediction
Qrfp	Xcr1	ppi_lr	ppi_prediction
Kiss1	Xcr1	ppi_lr	ppi_prediction
Nms	Xcr1	ppi_lr	ppi_prediction
Uts2b	Xcr1	ppi_lr	ppi_prediction
Prok2	Xcr1	ppi_lr	ppi_prediction
Ghrl	Xcr1	ppi_lr	ppi_prediction
Tac2	Xcr1	ppi_lr	ppi_prediction
Copa	Notch1	ppi_lr	ppi_prediction
Xcl1	Bdkrb1	ppi_lr	ppi_prediction
Cxcl12	Bdkrb1	ppi_lr	ppi_prediction
Nmu	Bdkrb1	ppi_lr	ppi_prediction
Prok1	Bdkrb1	ppi_lr	ppi_prediction
Sst	Bdkrb1	ppi_lr	ppi_prediction
Ccl20	Bdkrb1	ppi_lr	ppi_prediction
Qrfp	Bdkrb1	ppi_lr	ppi_prediction
Cxcl9	Bdkrb1	ppi_lr	ppi_prediction
Pnoc	Bdkrb1	ppi_lr	ppi_prediction
Kiss1	Bdkrb1	ppi_lr	ppi_prediction
Nms	Bdkrb1	ppi_lr	ppi_prediction
Uts2b	Bdkrb1	ppi_lr	ppi_prediction
Npw	Bdkrb1	ppi_lr	ppi_prediction
Npb	Bdkrb1	ppi_lr	ppi_prediction
Rln3	Bdkrb1	ppi_lr	ppi_prediction
Ccl19	Bdkrb1	ppi_lr	ppi_prediction
Cxcl16	Bdkrb1	ppi_lr	ppi_prediction
Prok2	Bdkrb1	ppi_lr	ppi_prediction
Ccl28	Bdkrb1	ppi_lr	ppi_prediction
Hebp1	Bdkrb1	ppi_lr	ppi_prediction
Ghrl	Bdkrb1	ppi_lr	ppi_prediction
Tac2	Bdkrb1	ppi_lr	ppi_prediction
Apln	Bdkrb1	ppi_lr	ppi_prediction
Gm13306	Bdkrb1	ppi_lr	ppi_prediction
Insl5	Bdkrb1	ppi_lr	ppi_prediction
Cxcl12	Galr1	ppi_lr	ppi_prediction
Nmu	Galr1	ppi_lr	ppi_prediction
Sst	Galr1	ppi_lr	ppi_prediction
Ccl20	Galr1	ppi_lr	ppi_prediction
Cxcl9	Galr1	ppi_lr	ppi_prediction
Pnoc	Galr1	ppi_lr	ppi_prediction
Nms	Galr1	ppi_lr	ppi_prediction
Npw	Galr1	ppi_lr	ppi_prediction
Npb	Galr1	ppi_lr	ppi_prediction
Rln3	Galr1	ppi_lr	ppi_prediction
Ccl19	Galr1	ppi_lr	ppi_prediction
Cxcl16	Galr1	ppi_lr	ppi_prediction
Ccl28	Galr1	ppi_lr	ppi_prediction
Hebp1	Galr1	ppi_lr	ppi_prediction
Apln	Galr1	ppi_lr	ppi_prediction
Gm13306	Galr1	ppi_lr	ppi_prediction
Insl5	Galr1	ppi_lr	ppi_prediction
Xcl1	Gcgr	ppi_lr	ppi_prediction
Nmu	Gcgr	ppi_lr	ppi_prediction
Insl3	Gcgr	ppi_lr	ppi_prediction
Prok1	Gcgr	ppi_lr	ppi_prediction
Qrfp	Gcgr	ppi_lr	ppi_prediction
Kiss1	Gcgr	ppi_lr	ppi_prediction
Nms	Gcgr	ppi_lr	ppi_prediction
Uts2b	Gcgr	ppi_lr	ppi_prediction
Adm2	Gcgr	ppi_lr	ppi_prediction
Rln3	Gcgr	ppi_lr	ppi_prediction
Pth2	Gcgr	ppi_lr	ppi_prediction
Prok2	Gcgr	ppi_lr	ppi_prediction
Ghrl	Gcgr	ppi_lr	ppi_prediction
Tac2	Gcgr	ppi_lr	ppi_prediction
Insl3	Sctr	ppi_lr	ppi_prediction
Adm2	Sctr	ppi_lr	ppi_prediction
Rln3	Sctr	ppi_lr	ppi_prediction
Pth2	Sctr	ppi_lr	ppi_prediction
Cxcl12	Htr5a	ppi_lr	ppi_prediction
Nmu	Htr5a	ppi_lr	ppi_prediction
Sst	Htr5a	ppi_lr	ppi_prediction
Ccl20	Htr5a	ppi_lr	ppi_prediction
Cxcl9	Htr5a	ppi_lr	ppi_prediction
Pnoc	Htr5a	ppi_lr	ppi_prediction
Nms	Htr5a	ppi_lr	ppi_prediction
Npw	Htr5a	ppi_lr	ppi_prediction
Npb	Htr5a	ppi_lr	ppi_prediction
Rln3	Htr5a	ppi_lr	ppi_prediction
Ccl19	Htr5a	ppi_lr	ppi_prediction
Cxcl16	Htr5a	ppi_lr	ppi_prediction
Ccl28	Htr5a	ppi_lr	ppi_prediction
Hebp1	Htr5a	ppi_lr	ppi_prediction
Apln	Htr5a	ppi_lr	ppi_prediction
Gm13306	Htr5a	ppi_lr	ppi_prediction
Insl5	Htr5a	ppi_lr	ppi_prediction
Xcl1	Avpr1b	ppi_lr	ppi_prediction
Nmu	Avpr1b	ppi_lr	ppi_prediction
Prok1	Avpr1b	ppi_lr	ppi_prediction
Qrfp	Avpr1b	ppi_lr	ppi_prediction
Kiss1	Avpr1b	ppi_lr	ppi_prediction
Nms	Avpr1b	ppi_lr	ppi_prediction
Uts2b	Avpr1b	ppi_lr	ppi_prediction
Prok2	Avpr1b	ppi_lr	ppi_prediction
Ghrl	Avpr1b	ppi_lr	ppi_prediction
Tac2	Avpr1b	ppi_lr	ppi_prediction
Cxcl12	Mtnr1a	ppi_lr	ppi_prediction
Nmu	Mtnr1a	ppi_lr	ppi_prediction
Sst	Mtnr1a	ppi_lr	ppi_prediction
Ccl20	Mtnr1a	ppi_lr	ppi_prediction
Cxcl9	Mtnr1a	ppi_lr	ppi_prediction
Pnoc	Mtnr1a	ppi_lr	ppi_prediction
Nms	Mtnr1a	ppi_lr	ppi_prediction
Npw	Mtnr1a	ppi_lr	ppi_prediction
Npb	Mtnr1a	ppi_lr	ppi_prediction
Rln3	Mtnr1a	ppi_lr	ppi_prediction
Ccl19	Mtnr1a	ppi_lr	ppi_prediction
Cxcl16	Mtnr1a	ppi_lr	ppi_prediction
Ccl28	Mtnr1a	ppi_lr	ppi_prediction
Hebp1	Mtnr1a	ppi_lr	ppi_prediction
Apln	Mtnr1a	ppi_lr	ppi_prediction
Gm13306	Mtnr1a	ppi_lr	ppi_prediction
Insl5	Mtnr1a	ppi_lr	ppi_prediction
Nmu	Npbwr1	ppi_lr	ppi_prediction
Sst	Npbwr1	ppi_lr	ppi_prediction
Ccl20	Npbwr1	ppi_lr	ppi_prediction
Cxcl9	Npbwr1	ppi_lr	ppi_prediction
Pnoc	Npbwr1	ppi_lr	ppi_prediction
Nms	Npbwr1	ppi_lr	ppi_prediction
Rln3	Npbwr1	ppi_lr	ppi_prediction
Ccl19	Npbwr1	ppi_lr	ppi_prediction
Cxcl16	Npbwr1	ppi_lr	ppi_prediction
Ccl28	Npbwr1	ppi_lr	ppi_prediction
Hebp1	Npbwr1	ppi_lr	ppi_prediction
Apln	Npbwr1	ppi_lr	ppi_prediction
Gm13306	Npbwr1	ppi_lr	ppi_prediction
Insl5	Npbwr1	ppi_lr	ppi_prediction
Lamc2	Cd151	ppi_lr	ppi_prediction
Insl3	Gipr	ppi_lr	ppi_prediction
Adm2	Gipr	ppi_lr	ppi_prediction
Rln3	Gipr	ppi_lr	ppi_prediction
Pth2	Gipr	ppi_lr	ppi_prediction
Sst	Npy2r	ppi_lr	ppi_prediction
Ccl20	Npy2r	ppi_lr	ppi_prediction
Cxcl9	Npy2r	ppi_lr	ppi_prediction
Pnoc	Npy2r	ppi_lr	ppi_prediction
Nms	Npy2r	ppi_lr	ppi_prediction
Npw	Npy2r	ppi_lr	ppi_prediction
Npb	Npy2r	ppi_lr	ppi_prediction
Rln3	Npy2r	ppi_lr	ppi_prediction
Ccl19	Npy2r	ppi_lr	ppi_prediction
Cxcl16	Npy2r	ppi_lr	ppi_prediction
Ccl28	Npy2r	ppi_lr	ppi_prediction
Hebp1	Npy2r	ppi_lr	ppi_prediction
Apln	Npy2r	ppi_lr	ppi_prediction
Gm13306	Npy2r	ppi_lr	ppi_prediction
Insl5	Npy2r	ppi_lr	ppi_prediction
Insl3	Pth2r	ppi_lr	ppi_prediction
Adm2	Pth2r	ppi_lr	ppi_prediction
Rln3	Pth2r	ppi_lr	ppi_prediction
Sst	Mtnr1b	ppi_lr	ppi_prediction
Ccl20	Mtnr1b	ppi_lr	ppi_prediction
Cxcl9	Mtnr1b	ppi_lr	ppi_prediction
Pnoc	Mtnr1b	ppi_lr	ppi_prediction
Nms	Mtnr1b	ppi_lr	ppi_prediction
Npw	Mtnr1b	ppi_lr	ppi_prediction
Npb	Mtnr1b	ppi_lr	ppi_prediction
Rln3	Mtnr1b	ppi_lr	ppi_prediction
Ccl19	Mtnr1b	ppi_lr	ppi_prediction
Cxcl16	Mtnr1b	ppi_lr	ppi_prediction
Ccl28	Mtnr1b	ppi_lr	ppi_prediction
Hebp1	Mtnr1b	ppi_lr	ppi_prediction
Apln	Mtnr1b	ppi_lr	ppi_prediction
Gm13306	Mtnr1b	ppi_lr	ppi_prediction
Insl5	Mtnr1b	ppi_lr	ppi_prediction
Sst	Cxcr3	ppi_lr	ppi_prediction
Pnoc	Cxcr3	ppi_lr	ppi_prediction
Nms	Cxcr3	ppi_lr	ppi_prediction
Npw	Cxcr3	ppi_lr	ppi_prediction
Npb	Cxcr3	ppi_lr	ppi_prediction
Rln3	Cxcr3	ppi_lr	ppi_prediction
Cxcl16	Cxcr3	ppi_lr	ppi_prediction
Ccl28	Cxcr3	ppi_lr	ppi_prediction
Hebp1	Cxcr3	ppi_lr	ppi_prediction
Apln	Cxcr3	ppi_lr	ppi_prediction
Gm13306	Cxcr3	ppi_lr	ppi_prediction
Insl5	Cxcr3	ppi_lr	ppi_prediction
Sst	Agtr2	ppi_lr	ppi_prediction
Ccl20	Agtr2	ppi_lr	ppi_prediction
Cxcl9	Agtr2	ppi_lr	ppi_prediction
Pnoc	Agtr2	ppi_lr	ppi_prediction
Nms	Agtr2	ppi_lr	ppi_prediction
Npw	Agtr2	ppi_lr	ppi_prediction
Npb	Agtr2	ppi_lr	ppi_prediction
Rln3	Agtr2	ppi_lr	ppi_prediction
Ccl19	Agtr2	ppi_lr	ppi_prediction
Cxcl16	Agtr2	ppi_lr	ppi_prediction
Ccl28	Agtr2	ppi_lr	ppi_prediction
Hebp1	Agtr2	ppi_lr	ppi_prediction
Apln	Agtr2	ppi_lr	ppi_prediction
Gm13306	Agtr2	ppi_lr	ppi_prediction
Insl5	Agtr2	ppi_lr	ppi_prediction
Sst	Npy4r	ppi_lr	ppi_prediction
Ccl20	Npy4r	ppi_lr	ppi_prediction
Cxcl9	Npy4r	ppi_lr	ppi_prediction
Pnoc	Npy4r	ppi_lr	ppi_prediction
Nms	Npy4r	ppi_lr	ppi_prediction
Npw	Npy4r	ppi_lr	ppi_prediction
Npb	Npy4r	ppi_lr	ppi_prediction
Rln3	Npy4r	ppi_lr	ppi_prediction
Ccl19	Npy4r	ppi_lr	ppi_prediction
Cxcl16	Npy4r	ppi_lr	ppi_prediction
Ccl28	Npy4r	ppi_lr	ppi_prediction
Hebp1	Npy4r	ppi_lr	ppi_prediction
Apln	Npy4r	ppi_lr	ppi_prediction
Gm13306	Npy4r	ppi_lr	ppi_prediction
Insl5	Npy4r	ppi_lr	ppi_prediction
Insl3	Htr6	ppi_lr	ppi_prediction
Adm2	Htr6	ppi_lr	ppi_prediction
Rln3	Htr6	ppi_lr	ppi_prediction
Pth2	Htr6	ppi_lr	ppi_prediction
Sst	Ccr3	ppi_lr	ppi_prediction
Ccl20	Ccr3	ppi_lr	ppi_prediction
Pnoc	Ccr3	ppi_lr	ppi_prediction
Nms	Ccr3	ppi_lr	ppi_prediction
Npw	Ccr3	ppi_lr	ppi_prediction
Npb	Ccr3	ppi_lr	ppi_prediction
Rln3	Ccr3	ppi_lr	ppi_prediction
Ccl19	Ccr3	ppi_lr	ppi_prediction
Cxcl16	Ccr3	ppi_lr	ppi_prediction
Hebp1	Ccr3	ppi_lr	ppi_prediction
Apln	Ccr3	ppi_lr	ppi_prediction
Gm13306	Ccr3	ppi_lr	ppi_prediction
Insl5	Ccr3	ppi_lr	ppi_prediction
Sst	Ccr4	ppi_lr	ppi_prediction
